Authors,Title,Publication_year,Publication,Country,Latitude,Longitude,Site_name,n_sites,Sampling_period,Sampling_frequency,Elevation_masl,MATemp_C,MAPrecip_mm,MAEvap_mm,Climate_zone,Mean_width_m,Mean_water_depth_m,Mean_velocity_m_s-1,Mean_discharge_m3_s-1,Instream vegetation?,Land_use,Soil_type,Nutrient_status,Hydrological_regime,GHG_sampling_method,g_CO2_m-2_yr-1,CH4_diffusive_g_CH4_m-2_yr-1,CH4_ebullitive_g_CH4_m-2_yr-1,g_N2O_m-2_yr-1,Flux_conversion_notes,DO_mg_L-1,pH,EC_us_cm-1,DOC_mg_L-1,TP_mg_L-1,TN_mg_L-1,Nitrate_mg_L,Chl-a_mg_L-1,Secchi_depth_m,Notes
"Abulaiti, A; She, D; Pan, Y; Shi, Z; Hu, L; Huang, X; Shan, J; Xia, Y.",Drainage ditches are significant sources of indirect N2O emissions regulated by available carbon to nitrogen substrates in salt-affected farmlands,2024,WATER RESEARCH,China,38.1,106.1,First and Fifth drainage ditch,2,June 2021 to December 2022 (1.5 years),Monthly,1125,11.2,200,1350,Temperate continental arid,12.55,2.05,0.23,4.28,NA,Agriculture,"Mineral (assumed, with high salinity)",Hypertrophic,Perennial (assumed),Concentration,NA,NA,NA,1.99,Converted from ug N2O-N m2 h-1 * 44/28 (conversion factor from N2O-N to N2O) * 10e-6 (from ug to g) * 24h * 365d,NA,8.2,1369.42,3.87,NA,4.14,10.38,NA,NA,
"Ball, T; Smith, KA; Moncrieff, JB",Effect of stand age on greenhouse gas fluxes from a Sitka spruce [ Picea sitchensis (Bong.) Carr.] chronosequence on a peaty gley soil,2007,GLOBAL CHANGE BIOLOGY,England,55.166667,-2.05,Clear-cut stand and 30y old stand,2,February 2001 and November 2002,Every 14-28 days manual chambers; daily automated chamber (July  2001 to October 2002),246,7.6,950,NA,Temperate,NA,NA,NA,NA,NA,Forest (plantation),Organic (peaty gley),,Intermittently dry,Chamber,1222.74,NA,NA,NA,Converted from umol CO2 m2 s-1 * 1e-6 (umol to mol) * 44.01 (mol to g) * 31536000 (s to yr),NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry = no flow, as the water table was never above the ditch surface. MATemp data from Zerva & Mencuccini, 2005"
"Jauhiainen, J; Silvennoinen, H",Diffusion GHG fluxes at tropical peatland drainage canal water surfaces,2012,SUOSEURA,Indonesia,-2.340761,114.03791,Kalimantan settled,25,September 2007 (dry season) and April 2008 (wet season),"Not specified, assume once during wet and dry season",13,22.5,2700,1350,Tropical,3.8,0.7,0.031,NA,Yes,Peatland,Organic (peat),Mesotrophic,Perennial (water depth never 0),Chamber,3288.65,59.86,NA,0,Converted from mg CO2 /CH4 m2 d-1 * 1e-3 (mg to g) * 365 (d to yr). note: for N2O * 1e-6 (ug to g) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO2/CH4 values checked against Evans Wetland Supplement. Considered mesotrophic by Peacock et al 2021
"Jauhiainen, J; Silvennoinen, H",Diffusion GHG fluxes at tropical peatland drainage canal water surfaces,2012,SUOSEURA,Indonesia,0.43525,101.88372,Kampar settled,13,September 2007 (dry season) and April 2008 (wet season),"Not specified, assume once during wet and dry season",25,28,2500,NA,Tropical,8,2,0.155,NA,Yes,Forest plantation,Organic (peat),Eutrophic,Perennial (water depth never 0),Chamber,5975.78,391.645,NA,1.016525,Converted from mg CO2 /CH4 m2 d-1 * 1e-3 (mg to g) * 365 (d to yr). note: for N2O * 1e-6 (ug to g) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,Considered eutrophic due to mention of fertilizing of Acacia plantation
"Jauhiainen, J; Silvennoinen, H",Diffusion GHG fluxes at tropical peatland drainage canal water surfaces,2012,SUOSEURA,Indonesia,0.43525,102.88372,Kampar disturbed,5,September 2007 (dry season) and April 2008 (wet season),"Not specified, assume once during wet and dry season",25,28,2500,NA,Tropical,8,1.7,0.041,NA,No,Forest plantation,Organic (peat),Eutrophic,Perennial (water depth never 0),Chamber,4008.43,32.485,NA,0.274115,Converted from mg CO2 /CH4 m2 d-1 * 1e-3 (mg to g) * 365 (d to yr). note: for N2O * 1e-6 (ug to g) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,Considered eutrophic due to mention of fertilizing of Acacia plantation. CO2/CH4 values checked against Evans Wetland Supplement
"Klaus, M; Geibrink, E; Jonsson, A; Bergström, A-K; Bastviken, D; Laudon, H; Klaminder, J; Karlsson, J.",Greenhouse gas emissions from boreal inland waters unchanged after forest harvesting. ,2018,BIOGEOSCIENCES,Sweden,64.123611,18.779167,Control (Övre Björntjärn),1,June to September (4 months) 2012-2015,Biweekly,358,1,550,NA,Boreal,NA,0.3,NA,0.04,NA,Forest,Mineral (podzol),Mesotrophic,Perennial (assumed),Concentration,1335.65,3.59,NA,0.02,Converted from mmol m2 d-1 * 1e-3 (mmol to mol; or 1e-6 for N2O umol to mol) * 44.01 for CO2 or 16.04 for CH4 (mol to g) * 122 days assumed in growing season according to measurement period Jun-Sep,NA,3.9,NA,28,0.026,0.503,NA,NA,NA,Author correspondance with Mike indicated which sites were clear ditches
"Klaus, M; Geibrink, E; Jonsson, A; Bergström, A-K; Bastviken, D; Laudon, H; Klaminder, J; Karlsson, J.",Greenhouse gas emissions from boreal inland waters unchanged after forest harvesting. ,2018,BIOGEOSCIENCES,Sweden,64.020507,19.4876,"Clear-cut (Struptjärn, Lillsjölidtjärnen)",2,June to September (4 months) 2012-2016,Biweekly,221,1,550,NA,Boreal,NA,0.15,NA,0.0033,Yes-algal blooms,Forest,Mineral (podzol),Mesotrophic,Perennial (assumed),Concentration,468,0.39,NA,0.009,Converted from mmol m2 d-1 * 1e-3 (mmol to mol; or 1e-6 for N2O umol to mol) * 44.01 for CO2 or 16.04 for CH4 (mol to g) * 122 days assumed in growing season according to measurement period Jun-Sep,NA,4.6,NA,25,NA,0.505,NA,NA,NA,51% of the the forest was clear cut. Environmental variables are post-impact values here (TP was not available post impact).
"Von Arnold, K; Weslien, P; Nilsson, M; Svensson, B. H; Klemedtsson, L.","Fluxes of CO2, CH4 and N2O from drained coniferous forests on organic soils.",2005,FOREST ECOLOGY AND MANAGEMENT,Sweden,57.133333,14.75,Drainage ditch,2,June,twice,230,5.6,662,NA,Cold temperate humid,NA,NA,NA,NA,Yes-refer to algal photosynthesis,Forest ,Organic (peat),,Unknown,Chamber (transparent),695.4,1.87,NA,0.034,Converted from mg (CO2) or ug (CH4 and N2O) * 1e-3 or 1e-6 * 24h/d * 190 day growing season in southern Sweden from Sundh et al 2000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very little information available about the ditch water chemistry and ditch physical properties
"Clark, L; Strachan, IB; Strack, M; Roulet, NT; Knorr, KH; Teickner, H","Duration of extraction determines CO2 and CH4 emissions from anactively extracted peatland in eastern Quebec, Canada",2023,BIOGEOSCIENCES,Canada,47.79056,-69.51722,Ditches,NA,August 2018 - September 2020,Each summer (June - September),101,3.5,963.6,NA,Cool temperate,1,NA,NA,NA,NA,Peat harvest,Organic (peat),Oligotrophic,Unknown,Chamber,268.4,10.27,NA,NA,Converted from mg to g for CH4 (1e-3) * 122 days in measurement period (June - September) assumed to be the growing season. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not use a floating chamber, and water table is depicted exactly at the ditch surface. Site is ombrotrophic bog, thus can be considered low-nutrient"
"Daun, C; Huth, V; Gaudig, G; Günther, A; Krebs, M; Jurasinski, G",Full-cycle greenhouse gas balance of a Sphagnum paludiculture site on former bog grassland in Germany,2023,SCIENCE OF THE TOTAL ENVIRONMENT,Germany,53.266667,8.266667,Small ditches,2,"September 2011- August 2012, September 2012- August 2013, October 2017 - October 2018",Every two to four weeks,-1,9.96,811,NA,Humid Atlantic,0.5,0.5,NA,NA,Yes-floating sphagnum mats,Sphagnum paludiculture,Organic (peat),Eutrophic,Unknown,Chamber,1085.31,40.32,NA,0.45,Converted from g CO2 m-2 h-1 * 24 h/d * 365 days. Converted from mg CH4 m-2 h-1 * 1e-3 (mg to g) * 24 h/d * 365 d/y. Annual emissions reported by authors for N2O (used the average for large and small ditches because separate values not provided),6.22,4.3,194,101,NA,1.1,1.32,NA,NA,"Used 2011 and 2012 data from Günther et al., 2017. DO converted from % to mg/L using https://www.waterontheweb.org/under/waterquality/dosatcalc.html"
"Daun, C; Huth, V; Gaudig, G; Günther, A; Krebs, M; Jurasinski, G",Full-cycle greenhouse gas balance of a Sphagnum paludiculture site on former bog grassland in Germany,2023,SCIENCE OF THE TOTAL ENVIRONMENT,Germany,53.266667,8.266667,Large ditches,2,"September 2011- August 2012, September 2012- August 2013, October 2017 - October 2018",Every two to four weeks,-1,9.96,811,NA,Humid Atlantic,0.8,0.7,NA,NA,No-cleaned regularly,Sphagnum paludiculture,Organic (peat),Eutrophic,Unknown,Chamber,2618.72,26.97,NA,0.45,Converted from g CO2 m-2 h-1 * 24 h/d * 365 days. Converted from mg CH4 m-2 h-1 * 1e-3 (mg to g) * 24 h/d * 365 d/y. Annual emissions reported by authors for N2O (used the average for large and small ditches because separate values not provided),6.67,5.1,206,69,NA,1.1,1.77,NA,NA,"Used 2011 and 2012 data from Günther et al., 2017. DO converted from % to mg/L using https://www.waterontheweb.org/under/waterquality/dosatcalc.html Width and depth of large ditches should be greater (but not noted), so I have emailed the authors about this"
"Davis, K; Santos, IR; Perkins, AK; Webb, JR; Gleeson, J",Altered groundwater discharge and associated carbon fluxes in a wetland-drained coastal canal,2020,ESTUARINE COASTAL AND SHELF SCIENCE,Australia,-27.052043,153.152775,Bribie Island canal,1,"February 2012, May 2012, November 2012",One intensive time series survey in each sampling period,5,22.9,1358,1679,Subtropical,63,£2.02,0.061,NA,NA,Urban,Mineral (sandy),,Perennial (assumed),Concentration,332.52,NA,NA,NA,Converted from mmol m2 d-1 * 1e-3 (mmol to mol) * 44.01 (mol to g) * 365 days (as the measurements spanned 3 seasons),8.68,7.87,NA,NA,NA,NA,NA,NA,NA,"MATemp data from Meziane et al 2006, other climate data from Jackson et al 2007. Mean width an average of 6 measurements on Google Earth. "
"Deng, OP; Li, X; Deng, LJ; Zhang, SR; Gao, XS; Lan, T; Zhou, W; Tian, D; Xiao, YL; Yang, J; Ou, DH; Luo, L","Emission of CO2 and CH4 from a multi-ditches system in rice cultivation region: Flux, temporal-spatial variation and effect factors",2020,JOURNAL OF ENVIRONMENTAL MANAGEMENT,China,30.583889,103.630278,Ditches,3,June 2016 to May 2017, Monthly,600,17.7,726,NA,Humid subtropical monsoon,4.5,0.011,0.31,0.49,NA,Agriculture,Mineral (assumed),Hypertrophic,Perennial (assumed),Chamber,3681.93,228.58,NA,NA,Converted from mg m2 h-1 * 1e-3 (mg to g) * 24 h/d * 365 d/y,4.54,7.35,NA,10.35,0.35,5.74,1.73,NA,NA,60% agriculture and 25% urban land use. Small discrepancy with CH4 value reported in Peacock et al 2021 likely from webplot data extraction from figure
